id,eventDate,event,details,active
167,2020-04-18,Minor League Draft,,true
168,2020-04-16,Minor League Draft lists due to Mike and Lloyd,,true
169,2020-04-01,Block 1 start date,,true
170,2020-04-28,Block 1 due date,,true
171,2020-05-01,Block 2 start date,,true
172,2020-05-28,Block 2 due date,,true
173,2020-06-01,Block 3 start date,,true
174,2020-06-28,Block 3 due date,,true
175,2020-07-01,Block 4 start date,,true
176,2020-07-28,Block 4 due date,,true
177,2020-08-01,Block 5 start date,,true
178,2020-08-28,Block 5 due date,,true
179,2020-09-01,Block 6 start date,,true
180,2020-09-28,Block 6 due date,,true
181,2020-09-30,First Trading Period Begins,,true
182,2020-11-07,First Trading Period Ends,,true
183,2020-11-15,Payrolls Due by Midnight EST,,true
184,2020-11-15,$10 Annual League Dues to Lloyd,,true
185,2020-12-11,Free Agent Bids In,,true
186,2020-12-12,Free Agent Draft Results Posted,,true
187,2021-01-01,Second Trading Period Begins,,true
188,2021-02-08,Second Trading Period Ends at Midnight,,true
189,2021-01-30,Unowned Player Draft,,true
190,2021-01-28,Unowned Draft Lists In by Midnight EST,,true
191,2021-02-13,Waiver Cutdown by Midnight,Last Chance to cut without penalty,true
192,2021-02-27,Waiver Draft,,true
193,2021-02-25,Waiver Draft Lists in by Midnight,,true
194,2021-02-27,Third trading period begins,,true
195,2021-03-06,Third trading period ends,,true
196,2021-03-07,Final Rosters Set,,true
197,2021-04-01,Block 1 start date,,true
198,2021-05-01,Block 2 start date,,true
199,2021-06-01,Block 3 start date,,true
200,2021-07-01,Block 4 start date,,true
201,2021-08-01,Block 5 start date,,true
202,2021-09-01,Block 6 start date,,true
203,2021-04-28,Block 1 due date,,true
204,2021-05-28,Block 2 due date,,true
205,2021-06-28,Block 3 due date,,true
206,2021-07-28,Block 4 due date,,true
207,2021-08-28,Block 5 due date,,true
208,2021-09-28,Block 6 due date,,true
209,2021-03-27,Contingency CMs due to Mark by midnight,,true
210,2021-06-05,Minor League Draft,,true
211,2021-06-03,Minor League Draft lists due at midnight,,true
212,2021-06-01,In-season Trading Period Begins,,true
213,2021-06-26,In-season Trading Period Ends,,true
